1000,2,0.0008912
1000,3,0.0002315
1000,4,0.0002052
1000,5,0.0001537
1000,6,0.0001493
1000,7,0.0001454
1000,8,0.0001367
1000,9,0.0001312
1000,10,0.0001312
1000,11,0.0001327
1000,12,0.0001303
1000,13,0.0001329
1000,14,0.0001356
1000,15,0.000131
1000,16,0.0001431
1000,17,0.0001498
1000,18,0.0001574
1000,19,0.0001534
1000,20,0.0001542
10000,2,0.0132788
10000,3,0.0024886
10000,4,0.002078
10000,5,0.0015902
10000,6,0.001519
10000,7,0.0014449
10000,8,0.0014351
10000,9,0.0013899
10000,10,0.0014288
10000,11,0.0014889
10000,12,0.0014883
10000,13,0.0013584
10000,14,0.0014306
10000,15,0.0014224
10000,16,0.0013993
10000,17,0.0015761
10000,18,0.0015931
10000,19,0.0015767
10000,20,0.0015835
100000,2,0.178854
100000,3,0.0290268
100000,4,0.0212911
100000,5,0.0158004
100000,6,0.0153378
100000,7,0.0145021
100000,8,0.0143303
100000,9,0.0138092
100000,10,0.0139722
100000,11,0.0138911
100000,12,0.0141245
100000,13,0.0144394
100000,14,0.014337
100000,15,0.0141702
100000,16,0.0142278
100000,17,0.0161534
100000,18,0.0160744
100000,19,0.0161974
100000,20,0.0163922
